ID,Age,Type,Experience,Hospital Location,Patients in Queue,Patients Seen in Lifetime
6281,62,88,2,908,30,2155
2420,34,25,23,967,21,2651
4062,50,51,11,928,29,9768
7009,32,9,26,926,23,9963
11358,53,29,10,939,12,6771
4488,35,56,24,933,25,6832
4196,58,34,30,935,23,5024
8885,75,60,26,921,17,2616
13682,53,89,5,951,18,5970
1988,59,6,9,911,10,4437
1315,30,24,16,947,27,4945
8434,78,54,11,929,12,1617
9522,61,81,22,923,19,7525
3328,73,81,25,941,12,3222
4647,63,48,6,946,28,9362
6097,73,52,13,978,10,5384
7325,59,10,3,930,7,3085
1346,45,28,20,948,10,5653
2369,39,67,1,924,2,5925
14507,35,82,5,998,4,5569
10497,30,48,12,943,28,2075
1606,60,83,28,996,25,2174
597,47,30,17,962,9,5613
587,44,98,28,944,5,8754
4439,38,62,1,964,25,8546
8826,75,53,6,911,8,9076
13094,62,10,26,965,23,4946
2365,71,93,16,909,19,2111
925,75,83,2,945,15,8082
8062,72,10,15,1000,11,1441
12101,44,47,26,978,30,8796
2926,50,70,5,901,6,1358
10822,75,41,2,996,7,9253
3542,38,40,22,942,2,8821
7177,35,86,7,927,18,2554
14442,54,5,0,972,5,8813
2680,53,25,30,951,6,8246
6901,56,78,0,919,24,4003
14076,64,93,1,907,30,2750
5494,37,76,24,902,12,1461
5427,72,75,28,945,28,5524
12138,46,68,0,901,30,1391
4313,47,70,17,969,17,8669
8761,42,24,8,935,1,9801
4109,48,29,22,913,18,3557
5665,43,65,14,967,22,2484
8616,63,65,25,953,7,1143
3893,67,98,3,962,1,9838
1541,75,9,10,901,22,4017
633,54,28,18,918,9,9113
11652,35,41,25,951,6,2834
901,58,1,14,905,21,5385
2934,59,42,26,927,24,8378
11005,66,36,21,984,18,1634
6382,43,55,18,936,24,4983
9070,35,96,26,951,1,2076
4765,78,63,30,908,7,6094
4194,58,23,28,948,7,1083
1407,60,28,27,943,17,1576
1860,73,40,0,980,20,9159
1119,49,64,3,972,12,3250
8771,72,78,20,991,4,9715
5687,57,41,11,946,1,1822
11376,55,95,4,946,22,3260
611,38,29,9,934,30,1086
3703,43,67,16,974,24,7647
7762,32,10,10,946,26,8963
1965,71,58,4,927,2,3720
9716,53,74,2,922,6,2513
10538,50,35,28,996,17,8188
795,78,46,10,982,26,5785
14157,68,62,17,949,23,2842
6403,55,41,12,937,6,9724
9639,65,29,27,924,4,3736
3192,60,95,1,912,4,3566
6243,30,43,24,948,15,1427
4952,60,73,1,949,20,4327
11254,51,46,4,917,19,4566
2965,62,50,7,969,8,7264
8649,52,5,12,985,22,1934
14467,40,43,22,924,23,7336
13136,40,15,25,997,23,1848
1878,75,2,24,975,4,8742
