Doctor ID,Doctor Age,Doctor Location,Doctor Type,Experience (Years),Patients in Lifetime,Patients in Queue
2156,136.0,29,2,3.609767399315881,410.3411017585406,11.054518527206447
2263,120.0,32,10,14.808140530216573,1079.8249669049662,21.18332936359394
2726,104.0,61,99,19.45282764866134,1500.8637816650291,29.47158046392599
2379,88.0,39,76,19.43362600273113,2001.311593663776,38.8870123936599
2450,72.0,81,76,30.946364251766664,2519.6645044440734,49.64264946430636
2484,104.0,62,3,4.599545889704478,548.8458079533102,10.249762624922594
2826,88.0,75,49,15.98889823952122,1088.3846351557768,19.883262536655455
2905,72.0,44,10,17.50477378723077,1526.6531424698917,31.931303456311063
2880,56.0,48,71,25.79002361803979,2000.4616635713571,39.79732559236626
2739,40.0,36,71,29.042308192796096,2443.835520022614,49.5114974693168
2556,119.0,33,83,11.816831285722692,495.0132704919685,10.012305693991363
2869,103.0,17,95,13.656574894486807,1006.4370726037108,19.964882092994777
2055,87.0,14,52,16.523873703800902,1560.8761707063652,28.934166868907347
2382,71.0,-14,8,26.196403181270743,1978.910094533104,41.53091294581161
2556,55.0,-11,8,30.83787939187613,2405.740939621553,51.94495152891311
2639,133.0,35,49,1.0487662374655775,434.6269745287383,10.5322146420282
2677,117.0,44,32,17.37171182129374,1052.2849349276908,21.16918117520361
2492,101.0,27,80,21.53239338916625,1460.5156099122078,28.90921475639887
2683,85.0,12,58,18.083310932753733,1975.7417818936085,38.41745027518154
2195,69.0,19,58,28.131351016759474,2473.3348334602424,48.46163040357008
2713,126.0,16,19,10.018725310286088,400.436441344216,9.692078894363329
2399,110.0,4,16,9.550703552311168,1073.5395640431216,20.72844279851004
2206,94.0,-19,23,23.48722134595831,1472.399593962007,29.87947138998421
2528,78.0,13,96,27.256492915849726,1944.4675968958172,40.06677266949652
2793,62.0,57,96,27.039715087431546,2560.607846138759,48.91923776419881
2863,115.0,52,19,6.186481892133214,470.6637070807571,11.87993634933928
2661,99.0,58,82,17.58048058448761,971.2005533265168,19.77916828391646
2268,83.0,53,62,20.324286690743783,1471.503083734796,28.03036194258972
2404,67.0,66,13,20.5852976869677,1975.07853108428,39.46408617555174
2493,51.0,75,13,24.925806241629843,2421.297449307777,49.25199448589868
2620,88.0,19,69,6.849933279880203,426.47599065617806,9.899248517658002
2127,72.0,10,45,16.821083490287737,938.6496276058492,21.9214410773942
2695,56.0,1,39,23.859729236338637,1598.3473313406228,30.60679569571825
2063,40.0,-16,28,20.186093532209277,1963.7399881182137,39.47626902833852
2868,24.0,24,28,24.03389025122295,2567.2229774582142,50.96686303699265
2072,78.0,3,69,5.748231130920394,494.2342524991176,9.712184507099348
2609,62.0,4,75,12.19026210040853,913.1545183511304,20.3034094113334
2502,46.0,-17,29,18.05511369357547,1444.7478970427187,28.73511454315927
2096,30.0,-19,71,18.24262296820432,2017.4211438477832,41.79014360899131
2965,14.0,-18,71,27.332624777666776,2483.266389036221,50.6444575332187
2901,118.0,-9,36,2.278099658891953,543.588158531999,8.900318740021271
2456,102.0,0,85,13.48241662253989,961.5328293863578,21.539006269987443
2331,86.0,18,41,23.3650545368266,1406.3798994151482,28.239961939145783
2415,70.0,4,80,21.780705586238547,1924.2953852874828,41.88287749399486
2310,54.0,-42,80,31.318129553124297,2438.6105639405905,49.48695020982868
2634,85.0,49,73,6.497952194087277,408.7934636958964,10.759799698042034
2779,69.0,58,49,11.34806597236688,913.29144865057,19.68116965425676
2009,53.0,31,62,16.479640002865313,1570.0698191103409,29.38646452262273
2290,37.0,72,48,21.165135157603025,1996.4466857144048,39.16262578825661
2763,21.0,46,48,25.42407578501152,2511.3357740941624,50.47108405032512
2095,133.0,20,34,7.673329214374749,436.0658876292249,8.773840432079503
2598,117.0,34,13,9.515193062888864,914.9232505772932,21.216076904911368
2206,101.0,17,2,17.048959159348705,1526.300704426651,29.59192545539137
2968,85.0,-16,78,19.94428632299252,2088.137515015297,38.06298939264286
2167,69.0,22,78,25.35352101188745,2464.2765728129825,50.87256523041145
2776,115.0,85,4,7.386778918180077,469.0722117966488,8.133306354197579
2548,99.0,60,90,16.745792356402976,937.7103602554092,18.34683369420017
2575,83.0,54,95,12.312440972023104,1478.3005813219447,29.70524107363333
2492,67.0,76,60,23.017660801249047,1907.4309828145476,38.360711558262665
2083,51.0,110,60,25.325827699662867,2500.3536862473047,49.37566664959196
2148,124.0,89,43,1.4738662722144698,513.9281361943422,11.585687080309404
2314,108.0,62,4,7.040637223291528,900.725570762966,18.60326583972855
2814,92.0,63,72,20.28773761175668,1592.458808818534,28.281495335545827
2207,76.0,75,97,20.82371512917281,2081.178726343574,41.47086375705168
2924,60.0,64,97,32.72681506176329,2576.6207781027424,48.13813924135896
2834,71.0,31,89,0.3837034551215459,500.862306462141,10.540328479865924
2754,55.0,9,30,11.93812018369465,906.81373983353,19.894853025133497
2359,39.0,16,82,13.81672502110865,1599.1160067265678,29.74545862509972
2448,23.0,-1,57,24.476566444477918,2026.7653281133173,39.06375613175442
2160,7.0,-7,57,29.75956700787725,2453.830233150117,50.95424221268111
2121,79.0,74,43,2.39445687918458,506.6466007511529,11.920055838879032
2851,63.0,65,18,16.292968006228918,900.2486411127711,18.6620297760592
2943,47.0,69,12,14.991173916077956,1484.122443152736,29.071429777655634
2055,31.0,35,62,29.22248442168542,2052.4318676338976,41.784666406282376
2360,15.0,88,62,28.882916022666198,2556.168991981372,50.31495229293117
2344,125.0,8,24,8.927570884385041,583.800414370101,8.23382363632724
2082,109.0,36,43,15.317490673968408,918.9123655268309,21.62673412662513
2300,93.0,20,49,18.52742417137371,1578.7223676924734,30.151774195548303
2412,77.0,-7,1,25.55289080361694,1969.8750663973287,38.34420910416395
2943,61.0,39,1,35.22455970917329,2553.1292885644298,50.16829760473925
2040,67.0,80,31,8.841817273821595,516.0128467149501,10.55603126384202
2170,51.0,57,40,12.794607352571305,932.6984529973,18.64242238642764
2176,35.0,75,17,21.980328391842736,1568.7713841668035,29.479209752562333
2330,19.0,104,95,23.036532303439287,1931.3091869235811,39.004960234868506
2451,3.0,117,95,27.631610828967936,2510.664125673547,48.17970537425085
2446,111.0,81,36,5.345586888363119,476.2289436770519,9.907711882122122
2098,95.0,96,12,7.239819194852287,932.995795849854,19.26002522845614
2455,79.0,95,5,18.28780286131941,1556.734535748086,29.891523603375504
2847,63.0,84,64,18.273916251230432,1919.396961782934,38.63205334275706
2447,47.0,93,64,35.055500275996664,2487.112341485873,51.4588107423278
2941,114.0,27,38,0.3623313574463176,437.8351069922732,11.502539674041117
2259,98.0,17,47,11.860838282078277,920.7520430317009,20.186323684789777
2374,82.0,49,97,22.467254043373945,1569.269903561932,28.99184103884074
2149,66.0,24,38,29.069532187520167,2036.8789687979247,41.5776329419928
2730,50.0,10,38,33.61436677099917,2506.779634537013,50.89391955576016
2414,126.0,93,96,1.3360651420271423,550.1611980748972,11.38849588385403
2970,110.0,89,0,12.190989934666431,947.25206724444,21.390312785978736
2845,94.0,102,41,16.1201011185494,1549.7319085496968,31.14345297334015
2335,78.0,71,58,21.568195426445385,2039.421830226078,41.29182259002842
2847,62.0,47,58,32.6674118416608,2414.760463473935,51.14543551984771
2350,67.0,52,39,6.575725044059944,554.8672641778985,11.26299288020162
2453,51.0,58,0,9.419219466677347,916.1260783669928,20.717991933926115
2974,35.0,24,61,19.1145903159656,1521.8525776842057,29.4115889297654
2614,19.0,67,96,26.036669278425027,2068.695705778281,41.702180728228456
2554,3.0,86,96,27.67845420638285,2408.072151401669,48.29947989169519
2079,72.0,33,63,11.293327600198392,574.887179910564,10.12181413541125
2791,56.0,35,11,10.121635415236948,1058.8245711881946,18.29627799303332
2561,40.0,39,61,17.4263544707482,1498.1302612738125,29.27083530833632
2984,24.0,-7,47,22.89999310010438,2022.704688318377,38.16075938641874
2456,8.0,64,47,32.52018093633538,2481.7384149955187,48.568909677875496
2062,115.0,28,30,0.8883696374662362,458.74552500291,8.859101226787082
2352,99.0,44,97,10.857867346627868,1063.6121406594632,19.8876739550549
2304,83.0,47,18,17.969753100407626,1407.0392443136825,28.90531487323664
2002,67.0,22,95,26.35948368924458,1995.7259738783696,39.759855851871976
2508,51.0,19,95,24.738473194559266,2529.068573843136,50.53116124216045
2132,110.0,14,28,6.842846392135259,516.4850319058427,8.319202370677116
2983,94.0,22,0,14.242717951231558,975.8050091654744,19.225097745367695
2332,78.0,2,93,15.91445275827916,1540.5244127880203,31.388768644617127
2288,62.0,17,32,24.897102254901984,2015.515265203766,40.35251185188325
2270,46.0,39,32,32.09605348720391,2585.944435934308,49.06307667780062
2044,120.0,81,67,2.8962184710202235,599.2146612833633,9.110401099544486
2266,104.0,87,6,11.41392780496539,1090.1571325588718,18.733341348336857
2090,88.0,91,78,19.458913405346834,1458.1838770012948,30.491213187463213
2933,72.0,110,21,22.09073760774237,1944.62371952209,38.06310187573586
2399,56.0,131,21,33.57917671786003,2593.9924156185384,50.81600200215301
2423,140.0,41,70,5.340838394074881,573.9602758940116,9.721026817422024
2801,124.0,57,80,12.988131239097374,959.223968606722,19.5945197106766
2372,108.0,41,39,18.32942880038697,1408.5023366541398,28.849436761964856
2230,92.0,9,77,21.495809873554084,2049.29879972201,40.8162225644254
2636,76.0,44,77,32.58458262832819,2478.0709902890226,49.28450143210952
2567,106.0,93,2,11.73580351586563,563.6402935342542,9.013640186740467
2835,90.0,103,43,10.207715899194897,913.2616960721466,20.956781494856624
2047,74.0,97,50,18.161529681702167,1569.2926191581032,28.96975265719381
2669,58.0,63,10,25.460576643216093,1921.7811148316027,40.25918952484333
2493,42.0,56,10,33.83377942910357,2514.618971799865,51.335321561889
2527,76.0,67,27,11.613379161142497,493.9941670267997,8.408811201752679
2824,60.0,80,69,16.520756717354764,1091.5822453781573,19.301482059237944
2501,44.0,92,39,12.53968117562967,1542.6129404572207,28.90883356207265
2364,28.0,64,40,18.833795288183296,1989.6849387743896,38.76650105757528
2516,12.0,111,40,35.98255667332404,2533.5782972841944,50.29187289352197
2004,70.0,0,95,10.86484146941686,419.9449372062777,9.621111801142217
2548,54.0,15,71,15.949256980182591,1090.8065402331838,21.87995439917707
2163,38.0,-3,46,23.524963364042208,1455.327078056981,28.37336518702301
2034,22.0,-6,40,18.693100463729373,1947.238856996733,39.447319672034965
2768,6.0,-39,40,27.042989317942137,2458.748989969693,49.90568818256125
2817,119.0,75,77,1.7150282997447013,430.8957865526172,11.079337085775006
2544,103.0,74,46,16.95290841516404,1079.9162124222312,21.237419488920423
